pipesworld-notankage: 10 
1,0.036,7
2,48.023,18
3,0.087,9
4,0.174,17
5,0.253,12
6,0.394,34
7,0.089,10
8,0.574,34
9,0.178,22
10,0.857,35
11,1.623,56
12,2.355,104
13,1.006,39
14,4.288,178
15,3.354,107
16,8.22,304
17,2.302,39
18,5.235,99
19,9.917,106
20,5.066,60
21,2.045,39
22,19.7,76
23,2.228,34
24,4.875,94
25,35.231,425
26,7.838,107
27,45.96,372
28,42.32,310
29,9.151,58
30,16.737,105
31,0.766,43
32,1.567,61
33,21.302,140
34,16.597,86
35,33.222,186
36,151.055,718
37,84.997,274
38,13.665,74
39,10.234,58
40,82.265,162
41,1.826,13
42,538.141,423
43,N/A,-1
44,N/A,-1
45,N/A,-1
46,N/A,-1
47,N/A,-1
48,N/A,-1
49,525.228,152
50,767.994,229
pipesworld-notankage: 15 
1,0.042,7
2,10.089,16
3,0.086,12
4,0.221,21
5,0.219,11
6,0.246,20
7,0.076,10
8,0.518,27
9,0.178,22
10,0.864,40
11,1.549,56
12,3.597,192
13,1.324,40
14,8.067,280
15,5.776,171
16,15.214,562
17,3.404,74
18,8.182,172
19,31.453,726
20,2.886,46
21,3.835,110
22,14.778,516
23,3.049,56
24,3.467,59
25,10.979,126
26,20.853,269
27,27.744,214
28,41.866,393
29,17.439,88
30,81.927,598
31,0.67,43
32,1.109,54
33,55.426,599
34,20.533,180
35,28.998,150
36,90.949,461
37,183.423,259
38,30.007,140
39,12.887,53
40,61.258,150
41,6.027,22
42,N/A,-1
43,1703.286,160
44,317.202,188
45,1741.885,511
46,N/A,-1
47,N/A,-1
48,N/A,-1
49,476.933,102
50,662.206,277
pipesworld-notankage: 20 
1,0.044,7
2,3.825,56
3,0.112,9
4,0.599,67
5,0.395,17
6,0.268,22
7,0.073,10
8,0.244,14
9,0.147,22
10,0.835,33
11,2.654,124
12,2.825,128
13,0.998,50
14,5.096,155
15,4.301,142
16,8.064,206
17,3.093,35
18,4.419,59
19,4.831,47
20,5.879,76
21,3.355,99
22,5.808,169
23,0.513,30
24,4.469,86
25,22.882,230
26,26.231,400
27,28.882,209
28,35.302,223
29,56.991,297
30,22.263,174
31,0.666,43
32,1.064,53
33,23.923,294
34,39.217,438
35,29.019,184
36,61.029,404
37,29.926,151
38,46.402,189
39,92.603,267
40,123.623,259
41,1.485,12
42,N/A,-1
43,N/A,-1
44,494.895,416
45,1382.318,480
46,N/A,-1
47,N/A,-1
48,N/A,-1
49,86.881,59
50,908.234,800
pipesworld-notankage: 25 
1,0.05,7
2,21.746,26
3,0.265,10
4,0.555,47
5,0.354,15
6,0.257,18
7,0.084,10
8,0.687,36
9,0.17,22
10,0.771,33
11,2.02,72
12,3.0,152
13,1.21,41
14,4.004,98
15,3.006,94
16,10.643,288
17,3.23,78
18,3.0,73
19,3.286,63
20,9.674,145
21,5.679,127
22,21.289,97
23,2.992,49
24,1.231,51
25,12.31,162
26,25.253,354
27,11.549,89
28,40.642,413
29,35.351,226
30,6.439,74
31,0.626,43
32,1.285,57
33,24.737,261
34,115.121,319
35,28.28,174
36,54.407,239
37,53.434,318
38,29.482,112
39,75.859,222
40,31.145,133
41,1.376,12
42,N/A,-1
43,N/A,-1
44,N/A,-1
45,1494.205,515
46,1538.741,704
47,N/A,-1
48,N/A,-1
49,1434.808,327
50,1303.943,335
pipesworld-notankage: 30 
1,0.042,7
2,56.794,30
3,0.092,9
4,0.165,17
5,0.498,27
6,0.205,16
7,0.077,10
8,0.457,22
9,0.17,22
10,0.801,35
11,1.628,68
12,2.065,102
13,2.863,97
14,3.765,158
15,2.108,50
16,8.528,269
17,3.585,59
18,5.75,88
19,3.574,34
20,8.008,118
21,1.692,27
22,6.591,170
23,1.523,33
24,2.124,51
25,6.227,79
26,5.655,96
27,22.42,176
28,27.549,196
29,27.897,176
30,15.988,127
31,0.649,43
32,1.324,57
33,52.97,493
34,70.356,905
35,21.615,109
36,42.862,251
37,35.34,139
38,51.885,203
39,41.589,125
40,105.647,204
41,1.724,12
42,N/A,-1
43,N/A,-1
44,N/A,-1
45,N/A,-1
46,N/A,-1
47,N/A,-1
48,N/A,-1
49,517.112,201
50,N/A,-1
